id,name,price,image,category,quantity,source,productUrl
2678,The Baker's Dozen High Protein Fourgrain Seeds Sourdough,₹214,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982726/blinkit_store/chzrq5q8du0pnsq9smas.webp,bread,380 g,Blinkit,https://blinkit.com/
2679,English Oven Garlic Bread,₹35,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982728/blinkit_store/aj74ujeaimfag0bsnxil.webp,bread,200 g,Blinkit,https://blinkit.com/
2680,Bonn No Maida Missi Bread,₹49,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982729/blinkit_store/tz3vq4rrroyo9fpky9m9.webp,bread,250 g,Blinkit,https://blinkit.com/
2681,The Baker's Dozen Zero Maida Ragi Multigrain Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982731/blinkit_store/vujjdg7nqzwxj3ok0jjk.webp,bread,240 g,Blinkit,https://blinkit.com/
2682,The Baker's Dozen Zero Maida Whole Wheat Country Sourdough Bread,₹145,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982733/blinkit_store/w9rjkal6kyircb2gopzs.webp,bread,330 g,Blinkit,https://blinkit.com/
2683,Britannia Cheese Garlic Bread,₹45,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982735/blinkit_store/h745cesjlaarzmkqbc0d.webp,bread,275 g,Blinkit,https://blinkit.com/
2684,Spice Story Superstar Bombay Sandwich Chutney,₹192,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982737/blinkit_store/hivppnfukzifcqjakn8g.webp,bread,200 g,Blinkit,https://blinkit.com/
2685,Amul Whole Wheat Bread,₹55,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982738/blinkit_store/dp5ibj8p2ohhuvegvbv6.webp,bread,400 g,Blinkit,https://blinkit.com/
2686,Baker's Loaf Butter Crust Milk Bread,₹68,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982741/blinkit_store/eckka9k4l0orkkih2opz.webp,bread,350 g,Blinkit,https://blinkit.com/
2687,English Oven Fruit Bread,₹20,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982742/blinkit_store/jpzgfz4nqdvafjhyh5zi.webp,bread,150 g,Blinkit,https://blinkit.com/
2688,The Health Factory Low GI Multigrain Bread,₹74,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982744/blinkit_store/y2a6u8utxmzzelutoavp.webp,bread,250 g,Blinkit,https://blinkit.com/
2689,English Oven Multigrain Sub Bread,₹50,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982746/blinkit_store/rtevga5spcam1osprk1i.webp,bread,160 g,Blinkit,https://blinkit.com/
2690,Harvest Gold Multigrain Bread / Subz,₹50,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982747/blinkit_store/d2ivv5mkl1zohpqqjgto.webp,bread,200 g,Blinkit,https://blinkit.com/
